source_id,portal_id,field_sector,metric_structure,status,exact_a12c_kernel_reuse,conditional_a12c_kernel_reuse,priority_score_not_probability,source_next_gate,complete_energy_certified
PSEUDOTENSOR_DERIVATIVE_CURRENT,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,OPEN_PRE_BVP,False,False,55,OPERATOR_STRENGTH_AND_EMPIRICAL_PREFLIGHT,False
PSEUDOTENSOR_DERIVATIVE_CURRENT,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,55,OPERATOR_STRENGTH_AND_EMPIRICAL_PREFLIGHT,False
PSEUDOTENSOR_DERIVATIVE_CURRENT,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,OPEN_PRE_BVP,False,False,55,OPERATOR_STRENGTH_AND_EMPIRICAL_PREFLIGHT,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,50,WARD_FIRST_THEN_CAPACITY,False
NEUTRINO_VECTOR_CURRENT,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,45,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,ELECTROSTATIC_CONFORMAL_F2,ELECTROSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,40,WARD_FIRST_THEN_CAPACITY,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,ELECTROSTATIC_DISFORMAL_FF,ELECTROSTATIC,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,40,WARD_FIRST_THEN_CAPACITY,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,OPEN_PRE_BVP,False,False,40,WARD_FIRST_THEN_CAPACITY,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,40,WARD_FIRST_THEN_CAPACITY,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,OPEN_PRE_BVP,False,False,40,WARD_FIRST_THEN_CAPACITY,False
NEUTRINO_VECTOR_CURRENT,ELECTROSTATIC_CONFORMAL_F2,ELECTROSTATIC,g_mn*F2,OPEN_PRE_BVP,False,False,35,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
NEUTRINO_VECTOR_CURRENT,ELECTROSTATIC_DISFORMAL_FF,ELECTROSTATIC,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,35,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
NEUTRINO_VECTOR_CURRENT,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,OPEN_PRE_BVP,False,False,35,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
NEUTRINO_VECTOR_CURRENT,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,OPEN_PRE_BVP,False,False,35,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
NEUTRINO_VECTOR_CURRENT,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,OPEN_PRE_BVP,False,False,35,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
COMPOSITE_ATOMIC_NUCLEAR_MAGNETIZATION,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,CANONICAL_CURRENT_PER_JOULE_BOUND,False
COMPOSITE_ATOMIC_NUCLEAR_MAGNETIZATION,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,CANONICAL_CURRENT_PER_JOULE_BOUND,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,ELECTROSTATIC_PARITY_ODD,ELECTROSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,WARD_FIRST_THEN_CAPACITY,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,WARD_FIRST_THEN_CAPACITY,False
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,WARD_FIRST_THEN_CAPACITY,False
DIRECT_K2_WHEELER_ORDINARY_DIRAC,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_WITH_MORE_MOMENTUM_TUNING,False
DIRECT_K2_WHEELER_ORDINARY_DIRAC,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_WITH_MORE_MOMENTUM_TUNING,False
DIRECT_K2_WHEELER_ORDINARY_DIRAC,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_WITH_MORE_MOMENTUM_TUNING,False
ELECTRON_PAULI_MAGNETIZATION,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,032H17A12D1_PAULI_SOURCE_ENERGY_UV_EMPIRICAL_GATE,False
ELECTRON_PAULI_MAGNETIZATION,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,032H17A12D1_PAULI_SOURCE_ENERGY_UV_EMPIRICAL_GATE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,ELECTROSTATIC_PARITY_ODD,ELECTROSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,False
INTERACTING_BOUND_STATE_DIRAC,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,BOUND_STATE_WARD_AND_CHARGE_PER_JOULE,False
INTERACTING_BOUND_STATE_DIRAC,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,BOUND_STATE_WARD_AND_CHARGE_PER_JOULE,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,ELECTROSTATIC_PARITY_ODD,ELECTROSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,False
NEUTRINO_VECTOR_CURRENT,ELECTROSTATIC_PARITY_ODD,ELECTROSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
NEUTRINO_VECTOR_CURRENT,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
NEUTRINO_VECTOR_CURRENT,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,False
ORDINARY_EM_LIKE_VECTOR,ELECTROSTATIC_CONFORMAL_F2,ELECTROSTATIC,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,ELECTROSTATIC_DISFORMAL_FF,ELECTROSTATIC,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,ELECTROSTATIC_PARITY_ODD,ELECTROSTATIC,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
ORDINARY_EM_LIKE_VECTOR,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_MINIMAL_ROUTE,False
PSEUDOTENSOR_DERIVATIVE_CURRENT,ELECTROSTATIC_PARITY_ODD,ELECTROSTATIC,g_mn*F_dualF,METRIC_STRUCTURE_STRUCTURALLY_CLOSED_IN_SECTOR,False,False,0,OPERATOR_STRENGTH_AND_EMPIRICAL_PREFLIGHT,False
UNMODIFIED_IW_AXIAL_DIRAC,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_UNMODIFIED_AXIAL_MAXWELL,False
UNMODIFIED_IW_AXIAL_DIRAC,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_UNMODIFIED_AXIAL_MAXWELL,False
UNMODIFIED_IW_AXIAL_DIRAC,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_REOPEN_UNMODIFIED_AXIAL_MAXWELL,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,ELECTROSTATIC_CONFORMAL_F2,ELECTROSTATIC,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,ELECTROSTATIC_DISFORMAL_FF,ELECTROSTATIC,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,ELECTROSTATIC_PARITY_ODD,ELECTROSTATIC,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,MAGNETOSTATIC_CONFORMAL_F2,MAGNETOSTATIC,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,MAGNETOSTATIC_DISFORMAL_FF,MAGNETOSTATIC,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,MAGNETOSTATIC_PARITY_ODD,MAGNETOSTATIC,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,MIXED_EB_CONFORMAL_F2,MIXED_EB,g_mn*F2,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,MIXED_EB_DISFORMAL_FF,MIXED_EB,F_m_a*F_n^a,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
UNOBSERVED_HIDDEN_EXOTIC_MATTER,MIXED_EB_PARITY_ODD,MIXED_EB,g_mn*F_dualF,SOURCE_CLOSED_OR_POLICY_EXCLUDED,False,False,0,DO_NOT_USE_UNDER_CURRENT_POLICY,False
